facility,name,latitude,longitude,distance_to_nearest_stop_m,stop_density,stop_density_1km,population,population_density,num_healthcare_facilities,healthcare_density_1km,distance_to_city_center_km,urban_ring,local_edge_count_500m,local_edge_length_500m,nearest_node_degree,distance_to_nearest_node_m,interaction_stop_pop_density,interaction_fac_pop,interaction_built_stop,neighbor_accessibility_mean,accessibility_score
polyclinique cnss hay hassani,polyclinique cnss hay hassani,33.56712676339928,-7.668455630399424,79.3407536332444,11.459155902616464,35.0,1000.0,500.0,3.0,0.954929658551372,7.33150407063965,Inner,10,2000.0,3.0,50.0,5729.5779513082325,3000.0,22918.31180523293,0.5,0.6958333333333333
clinique adoha,clinique adoha,33.59704415596668,-7.522044369876583,192.05535647059315,1.2732395447351628,18.0,1000.0,500.0,2.0,0.6366197723675814,6.826329271797708,Inner,10,2000.0,3.0,50.0,636.6197723675814,2000.0,2546.4790894703256,0.5,0.19642857142857142
hôpital général de casablanca azhar-bernoussi,hôpital général de casablanca azhar-bernoussi,33.59923321543063,-7.483485369743223,108.19801217473444,8.91267681314614,12.0,1000.0,500.0,2.0,0.6366197723675814,10.284298143445264,Middle,10,2000.0,3.0,50.0,4456.33840657307,2000.0,17825.35362629228,0.5,0.5095238095238095
clinique al amal,clinique al amal,33.57255343106102,-7.553163115267273,96.14479177363503,1.2732395447351628,18.0,1000.0,500.0,2.0,0.6366197723675814,3.401455641007704,Inner,10,2000.0,3.0,50.0,636.6197723675814,2000.0,2546.4790894703256,0.5,0.3071428571428571
clinique les crêtes,clinique les crêtes,33.549513550009955,-7.624092000001142,90.63311729930392,7.639437268410976,13.0,1000.0,500.0,3.0,0.954929658551372,4.120284552370703,Inner,10,2000.0,3.0,50.0,3819.718634205488,3000.0,15278.874536821952,0.5,0.5470238095238096
clinique green town,clinique green town,33.494231644491045,-7.59618654174666,945.8661041585276,0.0,1.0,1000.0,500.0,1.0,0.3183098861837907,8.766033806730492,Middle,10,2000.0,3.0,50.0,0.0,1000.0,0.0,0.5,0.03154761904761905
hopital d'errahma,hopital d'errahma,33.53162339196623,-7.73267840139236,358.1973040273321,2.5464790894703255,7.0,1000.0,500.0,1.0,0.3183098861837907,14.04054880250775,Middle,10,2000.0,3.0,50.0,1273.2395447351628,1000.0,5092.958178940651,0.5,0.08511904761904762
clinique mersultan,clinique mersultan,33.58065169323467,-7.613818164413029,297.2660058517687,6.366197723675814,19.0,1000.0,500.0,6.0,1.909859317102744,2.3815185186897248,Inner,10,2000.0,3.0,50.0,3183.098861837907,6000.0,12732.395447351628,0.5,0.3880952380952381
hopital hassani,hopital hassani,33.5584440469472,-7.68731139737092,219.06298661747047,10.185916357881302,30.0,1000.0,500.0,1.0,0.3183098861837907,9.197047403974945,Middle,10,2000.0,3.0,50.0,5092.958178940651,1000.0,20371.832715762604,0.5,0.3946428571428572
clinique al wafaa,clinique al wafaa,33.591292580511514,-7.5903533304946915,200.44217112958273,5.092958178940651,18.0,1000.0,500.0,2.0,0.6366197723675814,2.018099930968352,Inner,10,2000.0,3.0,50.0,2546.4790894703256,2000.0,10185.916357881302,0.5,0.2869047619047619
centre de santé al massira 2 (niveau 2),centre de santé al massira 2 (niveau 2),33.580251571665066,-7.566585414833268,183.44570696373165,10.185916357881302,20.0,1000.0,500.0,1.0,0.3183098861837907,2.296161390567151,Inner,10,2000.0,3.0,50.0,5092.958178940651,1000.0,20371.832715762604,0.5,0.4267857142857143
clinique taha,clinique taha,33.55592913515371,-7.625772247092184,340.70071167340365,7.639437268410976,22.0,1000.0,500.0,6.0,1.909859317102744,3.844214448436339,Inner,10,2000.0,3.0,50.0,3819.718634205488,6000.0,15278.874536821952,0.5,0.42738095238095236
مستشفى اهل الغلام الأزهر,مستشفى اهل الغلام الأزهر,33.59840290086962,-7.488992379115019,66.5946905623782,7.639437268410976,14.0,1000.0,500.0,2.0,0.6366197723675814,9.768128353001911,Middle,10,2000.0,3.0,50.0,3819.718634205488,2000.0,15278.874536821952,0.5,0.5273809523809524
hôpital al mansour,hôpital al mansour,33.60752031789352,-7.50316335979685,66.63169129631972,8.91267681314614,17.0,1000.0,500.0,3.0,0.954929658551372,8.900731639870106,Middle,10,2000.0,3.0,50.0,4456.33840657307,3000.0,17825.35362629228,0.5,0.6255952380952381
clinique jerrada oasis,clinique jerrada oasis,33.55639592548778,-7.632356354256379,164.2811204440498,10.185916357881302,22.0,1000.0,500.0,6.0,1.909859317102744,4.363427073141508,Inner,10,2000.0,3.0,50.0,5092.958178940651,6000.0,20371.832715762604,0.5,0.625
hôpital bouafi,hôpital bouafi,33.55910413132997,-7.6099797302902425,275.6858017408669,6.366197723675814,21.0,1000.0,500.0,6.0,1.909859317102744,2.4327666446493708,Inner,10,2000.0,3.0,50.0,3183.098861837907,6000.0,12732.395447351628,0.5,0.39880952380952384
centre de sante ain harrouda,centre de sante ain harrouda,33.640067555337254,-7.448780686618782,370.1093363848901,2.5464790894703255,6.0,1000.0,500.0,1.0,0.3183098861837907,15.046116543277714,Middle,10,2000.0,3.0,50.0,1273.2395447351628,1000.0,5092.958178940651,0.5,0.0744047619047619
hôpital moulay youssef,hôpital moulay youssef,33.60268940302063,-7.632351824576385,78.16334549898221,8.91267681314614,19.0,1000.0,500.0,3.0,0.954929658551372,5.134520800081191,Inner,10,2000.0,3.0,50.0,4456.33840657307,3000.0,17825.35362629228,0.5,0.6113095238095239
hôpital mohammed v,hôpital mohammed v,33.589365908252454,-7.551654023582983,483.14809720183223,1.2732395447351628,10.0,1000.0,500.0,2.0,0.6366197723675814,3.9736579554470146,Inner,10,2000.0,3.0,50.0,636.6197723675814,2000.0,2546.4790894703256,0.5,0.09642857142857142
