stop_name,primary_mode,num_lines,latitude,longitude,health_facilities_500m
CARRIERE SCHNEIDER,casabus,2,33.565191,-7.6679128,1
CASERNE AIN BORJA,casabus,3,33.58683755001856,-7.590950000064061,1
CASERNE DEROUA,casabus,1,33.40847860002747,-7.533419000007065,0
CASERNE MLY YOUSSEF,casabus,2,33.61768985002452,-7.458502449961276,0
CASERNE NOUACEUR,casabus,1,33.39860170000343,-7.579750950030131,0
CENTRE COMMERCIAL EMILE ZOLA,casabus,4,33.59362305007853,-7.596993900060902,0
CENTRE CULTUREL,casabus,4,33.5257386,-7.650623100000001,0
CENTRE CULTUREL,casabus,4,33.52631079999998,-7.650336700000001,0
CENTRE D'HEMODIALYSE 2 MARS,casabus,3,33.552250300025456,-7.603453400027661,2
CENTRE DE L'ADDICTOLOGIE,casabus,2,33.57634480003,-7.618947299964385,2
CENTRE DE MAINTENANCE TRAMWAY,casabus,1,33.57705285006585,-7.517086249957114,0
CENTRE DE SANTE OUHOUDE,casabus,2,33.59738960000517,-7.645761349970549,0
CENTRE DE SANTE RIAD,casabus,1,33.6844925,-7.3839128,0
CENTRE DE SANTE RIAD,casabus,1,33.6845807,-7.384319,0
CENTRE DE SANTE VECTORIA,casabus,1,33.4242092,-7.674089600000001,0
CENTRE DE SANTE VECTORIA,casabus,1,33.424495699999994,-7.673983000000001,0
CENTRE DPK (ALSA),casabus,2,33.57395890000075,-7.5748470000039045,0
CENTRE EMERGENT,casabus,1,33.452739150038695,-7.499990600026067,0
CENTRE FEMININ,casabus,5,33.56191185001094,-7.601941900055963,0
CENTRE NOUR,casabus,3,33.47818465007769,-7.637736550001755,0
CENTRE OFPPT ESSAFA,casabus,1,33.55219265000688,-7.692724849963234,0
CENTRE SIDI MOUMEN,casabus,1,33.58030150001625,-7.543744799989894,0
CHARCOMEM,casabus,1,33.505615,-7.5006283,0
CHARCOMEM,casabus,1,33.50571240000001,-7.5002032,0
CHATEAU EL QODS,casabus,1,33.60879730000483,-7.501116800031444,3
CHATEAU MEDIOUNA,casabus,2,33.4577168,-7.522434999999999,0
CHATEAU MEDIOUNA,casabus,2,33.4577673,-7.5219641,0
CHEFCHAOUNI,casabus,1,33.6211044,-7.5111609999999995,0
CHEFCHAOUNI,casabus,1,33.6213926,-7.511048700000001,0
CHELLAL,casabus,1,33.621833800000005,-7.4517229,0
CHELLAL,casabus,1,33.6219581,-7.4513093,0
CHICHANE,casabus,3,33.54020439999999,-7.5412847,0
CHICHANE 1,casabus,3,33.5401323,-7.5409673999999995,0
CHTAIBA,casabus,2,33.5656633,-7.5709881,0
CIMETIERE SBATA,casabus,3,33.5467914,-7.564159400000003,0
CIMETIERE SBATA,casabus,3,33.54775189999999,-7.565837500000001,0
CIMETIERE SIDI MOUMEN,casabus,1,33.577975600012486,-7.519207050007948,0
CINEMA EL FALAH,casabus,2,33.55910289999999,-7.5506172000000005,0
CINEMA EL FALAH,casabus,4,33.55931259999999,-7.5503599,0
CINEMA EL OTHMANIA,casabus,2,33.56027410000001,-7.5746348,2
CINEMA EL OTHMANIA,casabus,2,33.560583,-7.5748833,2
CINEMA MEGARAMA,casabus,1,33.594939400000406,-7.66988159999897,0
CINEMA SAHRA,casabus,6,33.55109475000104,-7.599143299988132,1
CINEMA VERDIN,casabus,5,33.59598745001,-7.6259217000177255,2
CITE CHEMINOT,casabus,2,33.59951790000347,-7.568397250022106,0
CITE DE POLICE (BERNOUSSI),casabus,6,33.603085200062274,-7.51967289996664,1
CITE DE POLICE IBN SINA,casabus,1,33.56615289999999,-7.6811608,0
CITE DE POLICE IBN SINA,casabus,1,33.5664506,-7.680701600000001,0
CITE PLATEAU,casabus,2,33.568148800065366,-7.636635000071026,1
CITY AIN SEBAA,casabus,1,33.5988593,-7.539333900000001,0
CITY AIN SEBAA,casabus,1,33.5991378,-7.5394253,0
CLINIQUE ABBADI,casabus,2,33.56899845001672,-7.661100650054883,2
CLINIQUE ABDELMOUMEN,casabus,2,33.56528089999999,-7.626545199999999,1
CLINIQUE ABDELMOUMEN,casabus,2,33.56555439999999,-7.626836599999999,1
CLINIQUE AIN CHOC,casabus,3,33.549329100019406,-7.602288199985721,1
CLINIQUE ANDALOUS,casabus,1,33.5965952000568,-7.654779799918884,1
