StopName,StopLat,StopLon,NumRoutes
BENJDIA,33.5850407,-7.6071721,3
BLOC 33 LALLA MERIEM,33.5603039,-7.5527721,5
BLOC 33 LALLA MERIEM,33.5604242,-7.55285,5
BNI YAKHLEF,33.6642642,-7.3409352,1
BNI YAKHLEF 2,33.6611444,-7.3425011,1
BOULEVARD 9 AVRIL,33.5822638,-7.6283015,1
BOULEVARD 9 AVRIL,33.5826329,-7.6293945,1
BOULEVARD ABDELHADI BOUTALEB,33.5759089,-7.6766599,1
BOULEVARD ABDELHADI BOUTALEB,33.576106,-7.6767584,1
BOULEVARD ABDELMOUMEN,33.5791825,-7.6253022,4
BOULEVARD ABDELMOUMEN,33.5801957,-7.6246118,4
BOULEVARD ABDELMOUMEN 2,33.57808,-7.625376,2
BOULEVARD ABDERRAHIM BOUABID,33.5624467,-7.6430536,2
BOULEVARD ABDERRAHIM BOUABID,33.5627332,-7.6431092,2
BOULEVARD ABOU HOURAIRA,33.5616926,-7.5723052,2
BOULEVARD ABOU HOURAIRA,33.5622784,-7.5720777,2
BOULEVARD ABOU HOURAIRA 2,33.5635313,-7.5694865,1
BOULEVARD ABOU HOURAIRA 2,33.5636387,-7.5699047,1
BOULEVARD AFGHANISTAN,33.5714553,-7.6760542,2
BOULEVARD AFGHANISTAN,33.5715249,-7.6761522,4
BOULEVARD AHL LOGHLAM,33.5998593,-7.5039061,1
BOULEVARD AHL LOGHLAM,33.5999361,-7.5036112,1
BOULEVARD AHL LOGHLAM AZHAR,33.5976286,-7.4895152,1
BOULEVARD AHL LOGHLAM AZHAR,33.5978498,-7.4896762,1
BOULEVARD AHL LOGHLAM SAKANI,33.5977868,-7.4841833,1
BOULEVARD AHL LOGHLAM SAKANI,33.5979758,-7.4842773,1
BOULEVARD AHMED MEKOUR,33.6148624,-7.536792,1
BOULEVARD AL MAGHRIB AL ARABI,33.599285,-7.4848433,1
BOULEVARD AL MAGHRIB AL ARABI,33.6000534,-7.4841168,1
BOULEVARD AL QODS,33.5416111,-7.5912846,3
BOULEVARD AL QODS,33.5418088,-7.5916049,3
BOULEVARD AMGALA,33.5403694,-7.5791858,3
BOULEVARD AMGALA,33.5405456,-7.5788651,3
BOULEVARD ANOUAL,33.5694941,-7.6273362,4
BOULEVARD ANOUAL,33.5696488,-7.6274462,4
BOULEVARD BEN BARKA,33.6036367,-7.6518743,1
BOULEVARD BEN BARKA,33.6039197,-7.6518181,1
BOULEVARD BORDEAUX,33.5978985,-7.629616,5
BOULEVARD BORDEAUX,33.5979329,-7.6295243,3
BOULEVARD BOUALAM,33.5612922,-7.5366381,1
BOULEVARD BOUALAM,33.5614767,-7.5366909,1
BOULEVARD CHEFCHAOUNI,33.6278613,-7.5004473,1
BOULEVARD CHEFCHAOUNI,33.6280504,-7.5006558,1
BOULEVARD DAKHLA,33.5333599,-7.6008409,1
BOULEVARD DAKHLA,33.5334035,-7.6007831,1
BOULEVARD DAKHLA 2,33.5435848,-7.5766643,1
BOULEVARD DAKHLA 2,33.5438997,-7.5771133,1
BOULEVARD DE BOURGOGNE,33.594989,-7.6506401,1
BOULEVARD DE BOURGOGNE,33.595104,-7.6507187,1
BOULEVARD DE BOUSKOURA,33.5573617,-7.6490748,2
BOULEVARD DE GAZA,33.5686404,-7.5841472,3
BOULEVARD DE GAZA,33.5687263,-7.5844412,3
BOULEVARD DE LA MECQUE,33.5459553,-7.6316059,4
BOULEVARD DE LA MECQUE,33.5460168,-7.6317456,4
BOULEVARD DE LA RESISTANCE,33.589095,-7.603987,1
BOULEVARD DE LA RESISTANCE,33.589307,-7.6037109,1
BOULEVARD DE MAKRO,33.5948647,-7.5283457,1
BOULEVARD DE MAKRO,33.5950939,-7.5285079,1
BOULEVARD DE RIYAD,33.6731158,-7.3937608,1
BOULEVARD DE RIYAD,33.6732224,-7.3939688,1
BOULEVARD DE TEMARA,33.5497357,-7.5992452,1
BOULEVARD DES FACULTES,33.5420832,-7.6773194,2
BOULEVARD DES FACULTES,33.5421575,-7.677345,2
BOULEVARD DRISS EL HARTI,33.5481079,-7.5729583,3
BOULEVARD DRISS EL HARTI,33.5484006,-7.5728134,3
BOULEVARD DU NIL,33.5582412,-7.5690515,4
BOULEVARD DU NIL,33.5583008,-7.5691203,4
BOULEVARD EL HARTI,33.5437476,-7.5803351,2
BOULEVARD EL HARTI,33.5439922,-7.5803179,3
BOULEVARD EL YAZIDI,33.6013242,-7.5156324,1
BOULEVARD EL YAZIDI,33.6014639,-7.5155373,1
BOULEVARD FATIMA ZAROUAL,33.523815,-7.5966492,1
BOULEVARD FATIMA ZAROUAL,33.523858,-7.596683,1
BOULEVARD FOUARATE,33.5761307,-7.5688842,2
BOULEVARD FOUARATE,33.5762321,-7.5689312,2
BOULEVARD HAJ FATEH,33.5386461,-7.6797808,1
BOULEVARD HAJ FATEH,33.5388552,-7.6793258,1
BOULEVARD HAJ FATEH 2,33.5511417,-7.6892307,2
BOULEVARD HAJ FATEH OULFA,33.5492147,-7.6880671,2
BOULEVARD HAJ FATEH OULFA,33.5492506,-7.6882523,1
BOULEVARD HASSAN 1,33.593459,-7.6229835,1
BOULEVARD HASSAN 2 MOHAMMEDIA 2,33.6899476,-7.3961484,2
BOULEVARD HASSAN 2 MOHAMMEDIA 2,33.6900975,-7.3963554,2
BOULEVARD HASSAN EL ALLAOUI,33.5797747,-7.5865714,1
BOULEVARD HASSAN EL ALLAOUI,33.5798188,-7.5866046,1
BOULEVARD HOUCINE SOUSSI,33.5839384,-7.5293301,3
BOULEVARD HOUCINE SOUSSI,33.5840335,-7.529318,3
BOULEVARD IBN TACHFINE,33.5847176,-7.5734982,4
BOULEVARD IBN TACHFINE,33.5848631,-7.5733309,4
BOULEVARD IBNOU SINA,33.5717944,-7.6684743,7
BOULEVARD IBNOU SINA,33.5720835,-7.6682189,7
BOULEVARD IBNOU SINA N43,33.5753223,-7.6620226,9
BOULEVARD IMAM ALI,33.597663,-7.5202229,3
BOULEVARD IMAM ALI,33.5978578,-7.5200974,5
BOULEVARD L'OCEAN ATLANTIQUE,33.5872175,-7.6851111,1
BOULEVARD L'OCEAN ATLANTIQUE,33.5873755,-7.6846004,1
BOULEVARD LA RESISTENCE MO,33.6811962,-7.4056308,1
BOULEVARD LA RESISTENCE MO,33.6814501,-7.4053168,1
BOULEVARD LALA ASMA,33.5769082,-7.5407801,1
BOULEVARD LALA ASMA,33.5770497,-7.5405938,2
BOULEVARD MOHAMED SIJILMASSI,33.5879405,-7.6396307,1
BOULEVARD MOHAMED SIJILMASSI,33.5888764,-7.6398817,1
BOULEVARD MOHAMED V MO,33.7026873,-7.3942593,1
BOULEVARD MOHAMED V MO,33.7029532,-7.3945509,1
BOULEVARD MOULAY SLIMAN,33.6114329,-7.5611613,1
BOULEVARD MOULAY SLIMAN,33.611532,-7.5611562,1
BOULEVARD MOULAY SMAIL,33.5984194,-7.575913,3
BOULEVARD MOULAY SMAIL,33.5985702,-7.5758912,3
BOULEVARD NAKHIL,33.55242,-7.4828403,3
BOULEVARD NAKHIL,33.553202,-7.4818376,3
BOULEVARD NASSIBA BENT KAAB,33.5775241,-7.5463532,2
BOULEVARD NASSIBA BENT KAAB,33.5776673,-7.5465062,2
BOULEVARD OQBA,33.5795429,-7.5593013,1
BOULEVARD OQBA,33.5797214,-7.559211,2
BOULEVARD OUED BEHT,33.5585122,-7.6776259,1
BOULEVARD OUED DAHAB,33.5435563,-7.5689226,3
BOULEVARD OUED DAHAB,33.5435643,-7.5685393,3
BOULEVARD OUED DRAA,33.556112,-7.6847433,2
BOULEVARD OUED DRAA,33.5563899,-7.6845837,2
BOULEVARD OUED EDAOURA 1,33.5425765,-7.6778218,2
BOULEVARD OUED EDAOURA 1,33.542588,-7.6779198,2
BOULEVARD OUED LAOU,33.5603274,-7.6752383,2
BOULEVARD OUED LAOU,33.5605571,-7.6751773,2
BOULEVARD OUED TENSIFT,33.5525804,-7.6845192,3
BOULEVARD OUED TENSIFT,33.5529075,-7.6846639,2
BOULEVARD PALESTINE,33.6861517,-7.3747936,1
BOULEVARD PALESTINE,33.686303,-7.3747002,1
BOULEVARD RACHIDI,33.5909199,-7.6219522,5
BOULEVARD ROUDANI,33.5847257,-7.6305928,1
BOULEVARD ROUDANI,33.584783,-7.6303535,1
BOULEVARD SMARA,33.537228,-7.5886952,2
BOULEVARD SMARA,33.5374605,-7.5886257,2
BOULEVARD SOUR JDID,33.6050261,-7.6210778,1
BOULEVARD SOUR JDID,33.6052352,-7.6207587,1
BOULEVARD TAH,33.5341683,-7.5799083,1
BOULEVARD TAH,33.5348302,-7.5788909,1
BOULEVARD TARIK IBNOU ZIAD,33.5768411,-7.616815,1
BOULEVARD TAZA,33.5443832,-7.5947479,2
BOULEVARD TAZA,33.5450965,-7.5946819,2
BOULEVARD ZERKTOUNI,33.5915415,-7.6362428,3
BOULEVARD ZERKTOUNI,33.5916527,-7.6365855,3
BOULEVARS ABDELKRIM KHATTABI,33.5808788,-7.6647263,1
BOULEVARS ABDELKRIM KHATTABI,33.5809733,-7.6647647,1
BOUSKOURA CENTRE,33.4376279,-7.6422217,1
BOUSKOURA CENTRE,33.4376279,-7.6419839,1
BOUZIANE,33.5699852,-7.5434502,1
BOUZIANE,33.5704918,-7.5437363,1
BRADAA,33.6999222,-7.3704099,2
BRAHMA 3,33.628949,-7.4515004,1
BRAHMA 3,33.6289786,-7.4512517,1
BRAHMA II,33.6218854,-7.4463411,1
BRAHMA II,33.6220171,-7.4463142,1
CARIERRE CENTRALE,33.5920627,-7.5665813,2
CARIERRE CENTRALE,33.5922434,-7.5664171,2
CARRIERE ARAIB,33.5818127,-7.5338049,3
CARRIERE ARAIB,33.5818442,-7.5338862,3
CARRIERE BEN ABID,33.4998992,-7.8746248,1
CARRIERE BEN ABID,33.5005558,-7.8743263,1
CARRIERE BEN M'SIK,33.5579318,-7.5794702,1
CARRIERE BENMSICK,33.5574946,-7.5791201,1
CARRIERE RHAMNA,33.5900003,-7.5189355,4
CARRIERE RHAMNA,33.5902896,-7.5189234,4
CARRIERE SCHNEIDER,33.5644967,-7.6678834,4
CARRIERE SCHNEIDER,33.565191,-7.6679128,2
CASERNE AIN BORJA,33.5867516,-7.5910136,3
CASERNE AIN BORJA,33.5869235,-7.5908864,3
CASERNE DEROUA,33.40847,-7.5335012,1
CASERNE DEROUA,33.4084872,-7.5333368,1
CASERNE MLY YOUSSEF,33.6176483,-7.4584231,2
CASERNE MLY YOUSSEF,33.6177314,-7.4585818,2
CASERNE NOUACEUR,33.3984834,-7.579771,1
CASERNE NOUACEUR,33.39872,-7.5797309,1
CENTRE COMMERCIAL EMILE ZOLA,33.5935832,-7.5971317,4
CENTRE COMMERCIAL EMILE ZOLA,33.5936629,-7.5968561,4
CENTRE CULTUREL,33.5257386,-7.6506231,4
CENTRE CULTUREL,33.5263108,-7.6503367,4
CENTRE D'HEMODIALYSE 2 MARS,33.5522188,-7.6035315,3
CENTRE D'HEMODIALYSE 2 MARS,33.5522818,-7.6033753,3
CENTRE DE L'ADDICTOLOGIE,33.5763103,-7.61886,2
CENTRE DE L'ADDICTOLOGIE,33.5763793,-7.6190346,2
CENTRE DE MAINTENANCE TRAMWAY,33.5770256,-7.5169576,1
CENTRE DE MAINTENANCE TRAMWAY,33.5770801,-7.5172149,1
CENTRE DE SANTE OUHOUDE,33.5973188,-7.6457243,2
CENTRE DE SANTE OUHOUDE,33.5974604,-7.6457984,2
CENTRE DE SANTE RIAD,33.6844925,-7.3839128,1
CENTRE DE SANTE RIAD,33.6845807,-7.384319,1
CENTRE DE SANTE VECTORIA,33.4242092,-7.6740896,1
CENTRE DE SANTE VECTORIA,33.4244957,-7.673983,1
CENTRE DPK (ALSA),33.5739317,-7.574859,2
CENTRE DPK (ALSA),33.5739861,-7.574835,2
CENTRE EMERGENT,33.4527145,-7.5000875,1
CENTRE EMERGENT,33.4527638,-7.4998937,1
CENTRE FEMININ,33.5618109,-7.6019884,3
CENTRE FEMININ,33.5620128,-7.6018954,5
CENTRE NOUR,33.4781818,-7.6378752,3
CENTRE NOUR,33.4781875,-7.6375979,3
CENTRE OFPPT ESSAFA,33.5521158,-7.6926823,1
CENTRE OFPPT ESSAFA,33.5522695,-7.6927674,1
CENTRE SIDI MOUMEN,33.5802886,-7.5436809,1
CENTRE SIDI MOUMEN,33.5803144,-7.5438087,1
CHARCOMEM,33.505615,-7.5006283,1
CHARCOMEM,33.5057124,-7.5002032,1
CHATEAU EL QODS,33.6087084,-7.5011458,1
CHATEAU EL QODS,33.6088862,-7.5010878,1
CHATEAU MEDIOUNA,33.4577168,-7.522435,2
CHATEAU MEDIOUNA,33.4577673,-7.5219641,2
CHEFCHAOUNI,33.6211044,-7.511161,1
CHEFCHAOUNI,33.6213926,-7.5110487,1
CHELLAL,33.6218338,-7.4517229,1
CHELLAL,33.6219581,-7.4513093,1
CHICHANE,33.5402044,-7.5412847,3
CHICHANE 1,33.5401323,-7.5409674,3
CHTAIBA,33.5656633,-7.5709881,2
CIMETIERE SBATA,33.5467914,-7.5641594,3
CIMETIERE SBATA,33.5477519,-7.5658375,3
CIMETIERE SIDI MOUMEN,33.5779624,-7.5192621,1
CIMETIERE SIDI MOUMEN,33.5779888,-7.519152,1
CINEMA EL FALAH,33.5591029,-7.5506172,2
CINEMA EL FALAH,33.5593126,-7.5503599,4
CINEMA EL OTHMANIA,33.5602741,-7.5746348,2
CINEMA EL OTHMANIA,33.560583,-7.5748833,2
CINEMA MEGARAMA,33.5948645,-7.6698791,1
CINEMA MEGARAMA,33.5950143,-7.6698841,1
CINEMA SAHRA,33.5510217,-7.5991279,6
CINEMA SAHRA,33.5511678,-7.5991587,5
CINEMA VERDIN,33.5959555,-7.6259701,5
CINEMA VERDIN,33.5960194,-7.6258733,3
CITE CHEMINOT,33.5994446,-7.5684221,2
CITE CHEMINOT,33.5995912,-7.5683724,2
CITE DE POLICE (BERNOUSSI),33.6030637,-7.519548,6
CITE DE POLICE (BERNOUSSI),33.6031067,-7.5197978,6
CITE DE POLICE IBN SINA,33.5661529,-7.6811608,1
CITE DE POLICE IBN SINA,33.5664506,-7.6807016,1
CITE DES MÉTIERS,33.3999091,-7.5553609,1
CITE DES MÉTIERS,33.400012,-7.5549853,1
