name,lat,lon
BOULEVARD DE LA RESISTANCE,33.589307,-7.6037109
BOULEVARD DE MAKRO,33.5948647,-7.5283457
BOULEVARD DE MAKRO,33.5950939,-7.5285079
BOULEVARD DE RIYAD,33.6731158,-7.3937608
BOULEVARD DE RIYAD,33.6732224,-7.3939688
BOULEVARD DE TEMARA,33.5497357,-7.5992452
BOULEVARD DES FACULTES,33.5420832,-7.6773194
BOULEVARD DES FACULTES,33.5421575,-7.677345
BOULEVARD DRISS EL HARTI,33.5481079,-7.5729583
BOULEVARD DRISS EL HARTI,33.5484006,-7.5728134
BOULEVARD DU NIL,33.5582412,-7.5690515
BOULEVARD DU NIL,33.5583008,-7.5691203
BOULEVARD EL HARTI,33.5437476,-7.5803351
BOULEVARD EL HARTI,33.5439922,-7.5803179
BOULEVARD EL YAZIDI,33.6013242,-7.5156324
BOULEVARD EL YAZIDI,33.6014639,-7.5155373
BOULEVARD FATIMA ZAROUAL,33.523815,-7.5966492
BOULEVARD FATIMA ZAROUAL,33.523858,-7.596683
BOULEVARD FOUARATE,33.5761307,-7.5688842
BOULEVARD FOUARATE,33.5762321,-7.5689312
BOULEVARD HAJ FATEH,33.5386461,-7.6797808
BOULEVARD HAJ FATEH,33.5388552,-7.6793258
BOULEVARD HAJ FATEH 2,33.5511417,-7.6892307
BOULEVARD HAJ FATEH OULFA,33.5492147,-7.6880671
BOULEVARD HAJ FATEH OULFA,33.5492506,-7.6882523
BOULEVARD HASSAN 1,33.593459,-7.6229835
BOULEVARD HASSAN 2 MOHAMMEDIA 2,33.6899476,-7.3961484
BOULEVARD HASSAN 2 MOHAMMEDIA 2,33.6900975,-7.3963554
BOULEVARD HASSAN EL ALLAOUI,33.5797747,-7.5865714
BOULEVARD HASSAN EL ALLAOUI,33.5798188,-7.5866046
BOULEVARD HOUCINE SOUSSI,33.5839384,-7.5293301
BOULEVARD HOUCINE SOUSSI,33.5840335,-7.529318
BOULEVARD IBN TACHFINE,33.5847176,-7.5734982
BOULEVARD IBN TACHFINE,33.5848631,-7.5733309
BOULEVARD IBNOU SINA,33.5717944,-7.6684743
BOULEVARD IBNOU SINA,33.5720835,-7.6682189
BOULEVARD IBNOU SINA N43,33.5753223,-7.6620226
BOULEVARD IMAM ALI,33.597663,-7.5202229
BOULEVARD IMAM ALI,33.5978578,-7.5200974
BOULEVARD L'OCEAN ATLANTIQUE,33.5872175,-7.6851111
BOULEVARD L'OCEAN ATLANTIQUE,33.5873755,-7.6846004
BOULEVARD LA RESISTENCE MO,33.6811962,-7.4056308
BOULEVARD LA RESISTENCE MO,33.6814501,-7.4053168
BOULEVARD LALA ASMA,33.5769082,-7.5407801
BOULEVARD LALA ASMA,33.5770497,-7.5405938
BOULEVARD MOHAMED SIJILMASSI,33.5879405,-7.6396307
BOULEVARD MOHAMED SIJILMASSI,33.5888764,-7.6398817
BOULEVARD MOHAMED V MO,33.7026873,-7.3942593
BOULEVARD MOHAMED V MO,33.7029532,-7.3945509
BOULEVARD MOULAY SLIMAN,33.6114329,-7.5611613
BOULEVARD MOULAY SLIMAN,33.611532,-7.5611562
BOULEVARD MOULAY SMAIL,33.5984194,-7.575913
BOULEVARD MOULAY SMAIL,33.5985702,-7.5758912
BOULEVARD NAKHIL,33.55242,-7.4828403
BOULEVARD NAKHIL,33.553202,-7.4818376
BOULEVARD NASSIBA BENT KAAB,33.5775241,-7.5463532
BOULEVARD NASSIBA BENT KAAB,33.5776673,-7.5465062
BOULEVARD OQBA,33.5795429,-7.5593013
BOULEVARD OQBA,33.5797214,-7.559211
BOULEVARD OUED BEHT,33.5585122,-7.6776259
BOULEVARD OUED DAHAB,33.5435563,-7.5689226
BOULEVARD OUED DAHAB,33.5435643,-7.5685393
BOULEVARD OUED DRAA,33.556112,-7.6847433
BOULEVARD OUED DRAA,33.5563899,-7.6845837
BOULEVARD OUED EDAOURA 1,33.5425765,-7.6778218
BOULEVARD OUED EDAOURA 1,33.542588,-7.6779198
BOULEVARD OUED LAOU,33.5603274,-7.6752383
BOULEVARD OUED LAOU,33.5605571,-7.6751773
BOULEVARD OUED TENSIFT,33.5525804,-7.6845192
BOULEVARD OUED TENSIFT,33.5529075,-7.6846639
BOULEVARD PALESTINE,33.6861517,-7.3747936
BOULEVARD PALESTINE,33.686303,-7.3747002
BOULEVARD RACHIDI,33.5909199,-7.6219522
BOULEVARD ROUDANI,33.5847257,-7.6305928
BOULEVARD ROUDANI,33.584783,-7.6303535
BOULEVARD SMARA,33.537228,-7.5886952
BOULEVARD SMARA,33.5374605,-7.5886257
BOULEVARD SOUR JDID,33.6050261,-7.6210778
BOULEVARD SOUR JDID,33.6052352,-7.6207587
BOULEVARD TAH,33.5341683,-7.5799083
BOULEVARD TAH,33.5348302,-7.5788909
BOULEVARD TARIK IBNOU ZIAD,33.5768411,-7.616815
BOULEVARD TAZA,33.5443832,-7.5947479
BOULEVARD TAZA,33.5450965,-7.5946819
BOULEVARD ZERKTOUNI,33.5915415,-7.6362428
BOULEVARD ZERKTOUNI,33.5916527,-7.6365855
BOULEVARS ABDELKRIM KHATTABI,33.5808788,-7.6647263
BOULEVARS ABDELKRIM KHATTABI,33.5809733,-7.6647647
BOUSKOURA CENTRE,33.4376279,-7.6422217
BOUSKOURA CENTRE,33.4376279,-7.6419839
BOUZIANE,33.5699852,-7.5434502
BOUZIANE,33.5704918,-7.5437363
BRADAA,33.6999222,-7.3704099
BRAHMA 3,33.628949,-7.4515004
BRAHMA 3,33.6289786,-7.4512517
BRAHMA II,33.6218854,-7.4463411
BRAHMA II,33.6220171,-7.4463142
CARIERRE CENTRALE,33.5920627,-7.5665813
CARIERRE CENTRALE,33.5922434,-7.5664171
CARRIERE ARAIB,33.5818127,-7.5338049
CARRIERE ARAIB,33.5818442,-7.5338862
CARRIERE BEN ABID,33.4998992,-7.8746248
CARRIERE BEN ABID,33.5005558,-7.8743263
CARRIERE BEN M'SIK,33.5579318,-7.5794702
CARRIERE BENMSICK,33.5574946,-7.5791201
CARRIERE RHAMNA,33.5900003,-7.5189355
CARRIERE RHAMNA,33.5902896,-7.5189234
CARRIERE SCHNEIDER,33.5644967,-7.6678834
CARRIERE SCHNEIDER,33.565191,-7.6679128
CASERNE AIN BORJA,33.5867516,-7.5910136
CASERNE AIN BORJA,33.5869235,-7.5908864
CASERNE DEROUA,33.40847,-7.5335012
